ts,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30
1758536340.0,3.078,0.6900000000000119,33.49499999999989,-718.6200000000008,7591.18499999991,-53724.76199999987,176944.94999999646,1254052.800000037,-24593990.8500001,214621557.1500004,-1296111902.0849965,5968251034.20001,-21825873382.949993,64877144260.94997,-159267786196.05,326935457555.75977,-567120365923.7255,839255951066.3992,-1068575704641.8994,1178329980555.002,-1128581379165.2422,936085649220.151,-665437093670.7025,398097656658.002,-195284807765.7766,75858375807.39624,-22231987721.685028,4558807994.720065,-565818992.0250176,27204584.430001557,1038878.9939999358
1758538140.0,2.981,-1.0799999999999983,8.700000000000273,-16.24000000000342,4001.1300000000774,-86073.62400000013,912038.3999999978,-6488094.599999979,35486284.27499992,-160125622.79999924,618656903.8649942,-2092007080.799988,6285462660.749995,-16908174662.400017,40641420404.92496,-86429465616.24002,160563793075.6503,-257636491068.60037,354125318922.3752,-414739638986.40137,412523884682.91064,-347742749082.3005,247864906267.87628,-148661072328.60083,74108713954.27534,-29859101482.391853,9173481077.88006,-1894708619.9999623,174220793.3849998,18838120.73999883,-4990457.558999972
1758539940.0,6.481,0.0,2661.765,-84756.56,1230676.335,-11142401.634,71619359.175,-350798877.0,1367717366.9250004,-4327426431.9,10890927352.305008,-19385808460.20001,10067292430.64995,88537499026.20009,-440288961963.7503,1288829902184.6406,-2805455127400.4253,4813763577849.452,-6631625586365.33,7339341035999.704,-6425510733491.853,4259380725149.5586,-1870378265922.0823,198104312811.59814,477973254561.0759,-477263834303.2555,261437948731.88992,-94937253474.14001,22901265787.829994,-3362879592.929999,229591493.586
1758541740.0,8.112,-27.630000000000024,238.3800000000001,-5623.100000000002,132475.77000000008,-1749973.680000001,14916815.549999997,-90297908.9999999,408557576.7000001,-1410627761.3999987,3671711148.1050034,-6545880104.399967,3567586051.5749745,28343204419.950245,-147033521970.97516,459932908968.72034,-1100534955081.2993,2125797337184.8474,-3364082888944.048,4368024473576.4077,-4628454991360.201,3956066040497.9995,-2671882761143.702,1373047211437.2017,-494559146697.5237,94654484559.17903,11512165103.775156,-14339038318.219799,4561040123.414966,-711156810.3899982,45251551.11799997
1758543540.0,11.23,0.0,0.4349999999994907,-4798.919999999969,97095.91499999992,-1009512.5040000023,7009513.875000002,-36045874.80000009,145076451.97500026,-476986073.8500011,1340398254.1950145,-3377769840.9000306,8047935106.575045,-19580376195.450203,52453086336.45005,-149836078679.04108,404061846858.4508,-937214717972.4077,1800219300120.1628,-2841490741553.1187,3698898040918.1025,-3996162958637.8794,3600180130520.05,-2705401948579.217,1684331644147.4321,-854995507632.6329,344295809083.1713,-105392769237.42036,22923059400.930073,-3138807225.6900096,202288000.4590006
1758545340.0,5.585,-1.5600000000000023,11.309999999999945,-1404.7600000000057,21019.63499999998,-149916.31199999969,568836.4499999979,-596489.3999999817,-5595396.299999777,34065324.14999926,-86559688.21500263,60964066.80001068,83465962.12503052,1642266823.0499878,-15639917850.900196,70526507230.80028,-214226650645.425,487107980374.0488,-868063823704.348,1239476557164.2996,-1431369782457.6113,1338004653692.8481,-1006003546698.1503,599873579557.2003,-276755945172.5251,94600494451.00775,-21976523080.15497,2710818115.459965,73343523.87001652,-73409009.30999924,7215360.434000051
1758547140.0,4.1,0.0,0.0,69.02000000000044,-3151.575000000099,54009.77400000102,-543304.125000007,3884306.4000000414,-21878233.65000027,100994171.84999983,-379648809.5399995,1125868653.0,-2484171915.2249475,3494951702.550095,-787318362.4501365,-10094893084.079498,26570758639.949512,-27252790985.699123,-26120953950.002632,157467726315.90143,-335421045209.2538,474324471814.0518,-496312769718.67554,397293843421.8018,-244901755343.70016,115165691925.10185,-40327509358.70983,10064928595.11994,-1657056894.3899941,154768219.4399985,-5603522.534999958
1758548940.0,4.451,0.0,-24.360000000000127,454.72000000000844,-3891.509999999951,48024.52200000011,-708967.3499999917,7296307.199999981,-51499887.0749997,266585125.94999737,-1072006135.1999921,3511278962.099971,-9763614717.674889,23844665174.39974,-52194815665.64972,102634437813.12013,-179061411912.97305,272004918592.0479,-352843835300.77277,383341669647.2982,-340748867629.16766,238760380329.89914,-121633631972.77702,33566585949.00353,8560003499.773897,-16205453986.175642,10154103751.574871,-3915653293.439864,974674232.2649592,-145002790.22999457,9858310.593999673
1758550740.0,4.561,0.0,30.4500000000005,-954.1000000000095,12496.680000000139,-99326.68200000073,508271.40000000224,-1416916.800000012,-959879.6999995671,30889136.849999696,-167380778.56499448,555231877.1999727,-1257697984.7249699,1787415761.2498581,-387115160.84989583,-6372848191.681385,22738434885.675976,-50999732122.501366,87582001716.3046,-121212133578.90398,137178658181.56418,-127053129017.10323,95781666099.6011,-58258417347.002914,28280402984.925323,-10824673534.03839,3226241758.635024,-737794032.0800188,125621405.83499964,-14537712.060000839,851930.099999999
1758552540.0,4.246,0.0,-0.4350000000001728,8.120000000006257,-82.21500000005472,-13253.058000000077,247010.40000000224,-2147769.000000003,11553673.950000033,-41748263.700000905,99418954.63500063,-114498820.79999876,-230677431.07496184,1829211948.899914,-6796328716.125095,19538292584.16013,-47245645767.373535,96951826087.19777,-167437131177.22314,241334780286.59717,-288685092981.2856,285343187393.5471,-231827768856.44794,153539009956.79736,-81752792796.67433,34190426851.308105,-10794935146.274904,2395680659.6799974,-321288018.5099972,15410406.119998116,1023258.7460001005
